,name,address,distance,rating,comment,price
0,Cosmos Hotel Taipei,"Zhongzheng District, Taipei",50 m,8.4,Very Good,"TWD 9,939"
1,Inn Cube - Taipei Main Station,"Zhongzheng District, Taipei",100 m,7.6,Good,"TWD 2,340"
2,Taiwan Youth Hostel & Capsule Hotel,"Zhongzheng District, Taipei",150 m,8.7,Excellent,"TWD 2,300"
3,NYS Loft Hotel,"Zhongzheng District, Taipei",150 m,8.1,Very Good,"TWD 2,800"
4,Mayer Inn,"Zhongzheng District, Taipei",200 m,7.8,Good,"TWD 4,500"
5,Water meworld,"Zhongzheng District, Taipei",200 m,7.9,Good,"TWD 4,085"
6,Sky19 Hotel,"Zhongzheng District, Taipei",200 m,8.6,Excellent,"TWD 6,851"
7,York Hotel,"Zhongzheng District, Taipei",200 m,7.7,Good,"TWD 4,050"
8,Taipei Inn,"Zhongzheng District, Taipei",200 m,7.3,Good,"TWD 1,800"
9,White Space Design Hotel,"Zhongzheng District, Taipei",200 m,8.0,Very Good,"TWD 3,400"
10,Smile Inn - Taipei Main Station,"Zhongzheng District, Taipei",300 m,7.9,Good,"TWD 3,990"
11,Apause Inn,"Zhongzheng District, Taipei",300 m,8.1,Very Good,"TWD 2,600"
12,Master Hotel,"Datong District , Taipei",300 m,7.9,Good,"TWD 4,250"
13,The Blue by Just Inn 正旅館 藍,"Zhongzheng District, Taipei",300 m,7.0,Good,"TWD 3,947"
14,Cavemen Hostel Taipei Station Youth Branch,"Zhongzheng District, Taipei",350 m,7.4,Good,"TWD 2,599"
15,T.O. Hotel - Taipei station,"Zhongzheng District, Taipei",350 m,8.4,Very Good,"TWD 3,422"
16,Hotel Relax II,"Zhongzheng District, Taipei",350 m,8.1,Very Good,"TWD 3,784"
17,Say Love Hotel,"Zhongzheng District, Taipei",350 m,7.1,Good,"TWD 1,890"
18,苓旅-站前 Lin Inn TMS,"Zhongzheng District, Taipei",350 m,8.1,Very Good,"TWD 3,580"
19,Roaders Plus Hotel - Theme,"Zhongzheng District, Taipei",400 m,8.5,Very Good,"TWD 7,076"
20,Roaders Plus Hotel - Taipei Station,"Zhongzheng District, Taipei",400 m,8.5,Very Good,"TWD 6,480"
21,CHECK inn Taipei Main Station,"Zhongzheng District, Taipei",400 m,8.2,Very Good,"TWD 3,765"
22,New May Flower Hotel,"Zhongzheng District, Taipei",450 m,6.6,Review score,"TWD 1,780"
23,Re-Change Hotel Taipei,"Zhongzheng District, Taipei",450 m,7.3,Good,"TWD 3,058"
24,Bouti City Capsule Inn,"Zhongzheng District, Taipei",450 m,8.5,Very Good,"TWD 3,043"
25,O2 Hotel Taipei Main Station,"Zhongzheng District, Taipei",450 m,7.1,Good,"TWD 3,349"
26,Just Inn,"Zhongzheng District, Taipei",450 m,8.0,Very Good,"TWD 3,160"
27,Royal Rose Hotel Taipei Station,"Zhongshan District, Taipei",450 m,8.4,Very Good,"TWD 3,529"
28,Poshpacker Hotel,"Zhongzheng District, Taipei",450 m,8.1,Very Good,"TWD 3,016"
29,HINOEN Hotel,"Zhongzheng District, Taipei",450 m,8.5,Very Good,"TWD 8,444"
30,Hotel Relax 5,"Zhongzheng District, Taipei",450 m,8.4,Very Good,"TWD 3,692"
31,OwlStay Flip Flop Hostel - Garden,"Datong District , Taipei",500 m,8.8,Excellent,"TWD 3,236"
32,Sheraton Grand Taipei Hotel,"Zhongzheng District, Taipei",500 m,8.3,Very Good,"TWD 7,800"
33,新獅城商務旅店,"Datong District , Taipei",500 m,6.7,Review score,"TWD 2,400"
34,Chia Rong Hostel,"Datong District , Taipei",0.5 k,7.1,Good,"TWD 1,710"
35,Rich & Free Hotel,"Zhongzheng District, Taipei",0.5 k,8.6,Excellent,"TWD 5,750"
36,Main Inn Taipei,"Datong District , Taipei",0.5 k,7.4,Good,"TWD 3,500"
37,Artinn藝築文旅-台北站前館,"Zhongzheng District, Taipei",0.5 k,8.1,Very Good,"TWD 3,644"
38,Formosa 101 Taipei Main Branch,"Zhongzheng District, Taipei",0.5 k,8.0,Very Good,"TWD 3,762"
39,Morwing Hotel Fairytale,"Zhongzheng District, Taipei",0.5 k,7.9,Good,"TWD 3,685"
